ml	 mAU
60.56	19.34
60.64	19.22
60.73	19.11
60.82	18.98
60.91	18.87
61.00	18.78
61.09	18.67
61.18	18.55
61.27	18.44
61.36	18.36
61.44	18.25
61.53	18.15
61.62	18.06
61.71	17.95
61.80	17.86
61.89	17.74
61.98	17.65
62.07	17.57
62.16	17.48
62.25	17.38
62.33	17.30
62.42	17.21
62.51	17.11
62.60	17.01
62.69	16.92
62.78	16.84
62.87	16.77
62.96	16.71
63.05	16.63
63.13	16.58
63.22	16.55
63.31	16.53
63.40	16.53
63.49	16.55
63.58	16.55
63.67	16.57
63.76	16.61
63.85	16.64
63.93	16.67
64.02	16.69
64.11	16.71
64.20	16.74
64.29	16.77
64.38	16.79
64.47	16.86
64.56	16.99
64.65	17.18
64.74	17.47
64.82	17.97
64.91	18.73
65.00	19.83
65.09	21.49
65.18	23.72
65.27	27.03
65.36	31.37
65.45	37.35
65.54	44.77
65.62	54.10
65.71	65.66
65.80	79.17
65.89	95.80
65.98	114.77
66.07	137.90
66.16	162.63
66.25	192.41
66.34	224.91
66.42	261.55
66.51	302.70
66.60	347.53
66.69	397.94
66.78	449.15
66.87	506.92
66.96	565.21
67.05	630.43
67.14	695.09
67.22	762.23
67.31	831.96
67.40	901.23
67.49	972.64
67.58	1042.06
67.67	1113.58
67.76	1179.68
67.85	1247.67
67.94	1311.39
68.03	1373.79
68.11	1434.18
68.20	1489.15
68.29	1542.18
68.38	1589.61
68.47	1636.71
68.56	1676.35
68.65	1715.76
68.74	1749.00
68.83	1779.71
68.91	1807.44
69.00	1837.92
69.09	1859.78
69.18	1872.94
69.27	1890.94
69.36	1904.00
69.45	1916.49
69.54	1927.58
69.63	1936.86
69.71	1946.05
69.80	1953.84
69.89	1963.15
69.98	1972.68
70.07	1980.49
70.16	1987.61
70.25	1995.24
70.34	2001.84
70.43	2008.34
70.51	2014.04
70.60	2018.68
70.69	2024.16
70.78	2028.76
70.87	2031.42
70.96	2034.62
71.05	2037.36
71.14	2040.41
71.23	2042.29
71.32	2044.86
71.40	2045.12
71.49	2045.32
71.58	2046.09
71.67	2045.32
71.76	2046.95
71.85	2045.68
71.94	2041.86
72.03	2042.31
72.12	2040.52
72.20	2036.62
72.29	2033.57
72.38	2031.78
72.47	2026.11
72.56	2019.74
72.65	2014.56
72.74	2008.82
72.83	2000.89
72.92	1992.25
73.00	1982.26
73.09	1971.04
73.18	1960.44
73.27	1946.41
73.36	1932.12
73.45	1915.26
73.54	1896.89
73.63	1875.97
73.72	1853.57
73.81	1830.08
73.89	1802.93
73.98	1774.29
74.07	1742.22
74.16	1709.55
74.25	1670.69
74.34	1630.74
74.43	1586.78
74.52	1541.18
74.61	1491.82
74.69	1440.06
74.78	1387.48
74.87	1333.05
74.96	1280.59
75.05	1226.35
75.14	1176.02
75.23	1123.49
75.32	1074.67
75.41	1025.72
75.49	980.51
75.58	936.60
75.67	894.32
75.76	854.93
75.85	816.40
75.94	782.15
76.03	747.81
76.12	717.54
76.21	688.08
76.29	660.41
76.38	635.01
76.47	610.82
76.56	588.65
76.65	566.55
76.74	547.16
76.83	527.44
76.92	509.86
77.01	492.67
77.10	476.55
77.18	461.38
77.27	446.50
77.36	432.60
77.45	419.29
77.54	407.32
77.63	395.34
77.72	384.62
77.81	374.06
77.90	364.21
77.98	355.00
78.07	346.29
78.16	338.27
78.25	330.36
78.34	323.30
78.43	316.06
78.52	309.69
78.61	303.35
78.70	297.58
78.78	292.03
78.87	286.63
78.96	281.75
79.05	276.90
79.14	272.65
79.23	268.21
79.32	264.28
79.41	260.34
79.50	256.53
79.58	253.40
79.67	250.32
79.76	247.15
79.85	244.75
79.94	242.24
80.03	239.59
80.12	236.98
80.21	234.46
80.30	231.92
80.39	229.61
80.47	227.44
80.56	225.36
80.65	223.37
80.74	221.18
80.83	218.86
80.92	215.55
81.01	210.98
81.10	204.02
81.19	194.28
81.27	181.41
81.36	165.76
81.45	148.96
81.54	131.20
81.63	115.10
81.72	99.31
81.81	85.92
81.90	73.68
81.99	63.10
82.07	54.14
82.16	46.47
82.25	40.05
82.34	34.43
82.43	29.88
82.52	25.73
82.61	22.44
82.70	19.48
82.79	17.06
82.88	14.95
82.96	13.15
83.05	11.64
83.14	10.33
83.23	9.24
83.32	8.27
83.41	7.48
83.50	6.77
83.59	6.19
83.68	5.68
83.76	5.26
83.85	4.89
83.94	4.57
84.03	4.29
84.12	4.05
84.21	3.86
